Team,Player,#,Class,Pos,Height,Weight,Hometown,High School,Summary
Oregon State,Jaquori McLaughlin,0,FR,G,4-Jun,185,"Gig Harbor, WA",,"10.5 Pts, 2.2 Reb, 3.2 Ast"
Oregon State,Daine Muller,22,JR,G,4-Jun,202,"Billings, MT",,"2.0 Pts, 0.9 Reb, 0.9 Ast"
Oregon State,Cheikh N'diaye,5,SR,C,Jul-00,230,"Dakar, Senegal",Army-Navy Academy,"3.6 Pts, 2.2 Reb, 0.1 Ast"
Oregon State,Gligorije Rakocevic,23,SO,C,11-Jun,250,"Bijelo Polj, Montenegro",Cantwell-Sacred Heart of Mary HS,"4.6 Pts, 3.7 Reb, 0.2 Ast"
Oregon State,Christian Russell,31,FR,C,11-Jun,235,"Salem, OR",,
Oregon State,Tanner Sanders,15,SO,G,4-Jun,201,"Corvallis, OR",Crescent Valley,"0.6 Pts, 1.1 Reb, 0.4 Ast"
Oregon State,Ronnie Stacy,2,JR,G,4-Jun,195,"Alexander City, AL",,"2.2 Pts, 1.6 Reb, 0.9 Ast"
Oregon State,Stephen Thompson Jr.,1,SO,G,4-Jun,170,"Los Angeles, CA",Bishop Montgomery HS,"16.3 Pts, 4.3 Reb, 3.0 Ast"
Oregon State,Tres Tinkle,3,SO,F,8-Jun,220,"Missoula, MT",Hellgate HS,"20.2 Pts, 8.3 Reb, 2.3 Ast"
Villanova,Phil Booth,5,JR,G,3-Jun,185,"Baltimore, MD",Mount Saint Joseph HS,"5.7 Pts, 1.7 Reb, 2.0 Ast"
Villanova,Mikal Bridges,25,SO,G,7-Jun,191,"Malvern, PA",Great Valley HS,"9.8 Pts, 4.6 Reb, 2.0 Ast"
Villanova,Jalen Brunson,1,SO,G,3-Jun,199,"Lincolnshire, IL",Adlai Stevenson HS,"14.7 Pts, 2.6 Reb, 4.1 Ast"
Villanova,Tim Delaney,34,FR,F,9-Jun,230,"Mullica Hill, NJ",,"0.4 Pts, 0.3 Reb"
Villanova,Donte DiVincenzo,10,FR,G,5-Jun,200,"Wilmington, DE",Salesianum HS,"8.8 Pts, 3.8 Reb, 1.7 Ast"
Villanova,Denny Grace,40,SR,G,11-May,175,"Catonsville, MD",,0.3 Reb
Villanova,Josh Hart,3,SR,G,5-Jun,205,"Silver Spring, MD",Sidwell Friends HS,"18.7 Pts, 6.4 Reb, 2.9 Ast"
Villanova,Kris Jenkins,2,SR,F,6-Jun,240,"Upper Marlboro, MD",Gonzaga College HS,"13.1 Pts, 4.1 Reb, 2.0 Ast"
Villanova,Matt Kennedy,35,JR,G,2-Jun,175,"Fairfax, VA",,0.1 Reb
Villanova,Tom Leibig,24,JR,F,4-Jun,195,"Havertown, PA",,0.4 Reb
Villanova,Dylan Painter,42,FR,F,10-Jun,240,"Hershey, PA",,"0.9 Pts, 1.4 Reb"
Villanova,Eric Paschall,4,SO,F,6-Jun,205,"Dobbs Ferry, NY",Dobbs Ferry,"7.2 Pts, 3.8 Reb, 0.6 Ast"
Villanova,Darryl Reynolds,45,SR,F,8-Jun,225,"Philadelphia, PA",Lower Merion,"4.5 Pts, 5.4 Reb, 0.6 Ast"
Villanova,Omari Spellman,14,FR,F,9-Jun,260,"North Royalton, OH",,
Butler,Henry Baddley,20,FR,G,4-Jun,175,"Wadsworth, OH",,"1.1 Pts, 0.8 Reb, 0.2 Ast"
Butler,Kamar Baldwin,3,FR,G,Jun-00,170,"Winder, GA",,"10.1 Pts, 3.7 Reb, 1.5 Ast"
Butler,Steven Bennett,25,SR,G,2-Jun,175,"New Castle, IN",Chrysler HS,"0.7 Pts, 0.4 Reb, 0.4 Ast"
Butler,Joey Brunk,50,FR,F,11-Jun,240,"Indianapolis, IN",,"3.1 Pts, 1.0 Reb, 0.1 Ast"
Butler,Andrew Chrabascz,45,SR,F,7-Jun,225,"Portsmouth, RI",Cushing Academy,"11.4 Pts, 4.6 Reb, 3.1 Ast"
Butler,Nate Fowler,51,SO,C,10-Jun,250,"Cincinnati, OH",Moeller HS,"5.3 Pts, 2.1 Reb, 0.4 Ast"
Butler,Paul Jorgensen,2,JR,G,2-Jun,185,"New City, NY",Don Bosco Prep (NJ),
Butler,Tyler Lewis,1,SR,G,11-May,170,"Statesville, NC",Oak Hill Academy (VA),"6.6 Pts, 1.4 Reb, 4.0 Ast"
Butler,Kelan Martin,30,JR,F,6-Jun,215,"Louisville, KY",Ballard HS,"16.0 Pts, 5.8 Reb, 1.2 Ast"
Butler,Sean McDermott,22,FR,G,6-Jun,182,"Anderson, IN",Pendleton Heights HS,"2.3 Pts, 1.4 Reb, 0.3 Ast"
Butler,Trey Pettus,10,SR,G,4-Jun,195,"St. Louis, MO",MICDS,"1.3 Pts, 0.3 Reb, 0.4 Ast"
Butler,Kethan Savage,11,SR,G,3-Jun,200,"Fairfax, VA",Episcopal,"8.0 Pts, 2.7 Reb, 1.5 Ast"
Butler,Tyler Wideman,4,JR,F,8-Jun,245,"Schererville, IN",Lake Central HS,"7.2 Pts, 5.0 Reb, 0.4 Ast"
Butler,Avery Woodson,0,SR,G,2-Jun,196,"Waynesboro, MS",Wayne County,"8.9 Pts, 2.6 Reb, 0.7 Ast"
Creighton,Tyler Clement,11,JR,G,1-Jun,185,"Shawnee, KS",St. Thomas Aquinas HS,"1.6 Pts, 1.0 Reb, 1.4 Ast"
Creighton,Sam Dunkum,31,SO,F,10-Jun,215,"North Little Rock, AR",,
Creighton,Marcus Foster,0,JR,G,3-Jun,210,"Wichita Falls, TX",Hirschi,"18.2 Pts, 2.9 Reb, 2.4 Ast"
Creighton,Zach Hanson,40,SR,C,9-Jun,240,"Pierre, SD",T.F. Riggs HS,"5.4 Pts, 2.2 Reb, 0.2 Ast"
Creighton,Ronnie Harrell,4,SO,G,7-Jun,180,"Denver, CO",East HS,"2.6 Pts, 1.9 Reb, 0.7 Ast"
Creighton,Toby Hegner,32,JR,F,10-Jun,225,"Berlin, WI",Berlin HS,"5.0 Pts, 3.4 Reb, 0.5 Ast"
Creighton,Cole Huff,13,SR,F,8-Jun,210,"Altadena, CA",Campbell Hall,"9.2 Pts, 3.9 Reb, 0.6 Ast"
Creighton,Kaleb Joseph,14,JR,G,3-Jun,180,"Nashua, NH",Cushing Academy,
Creighton,Martin Krampelj,15,FR,F,9-Jun,205,"Grosuplje, Slovenia",Impact Academy (FL),"2.9 Pts, 2.2 Reb, 0.2 Ast"
Creighton,Davion Mintz,1,FR,G,3-Jun,175,"Charlotte, NC",,"3.3 Pts, 1.1 Reb, 1.8 Ast"
Creighton,Kobe Paras,24,FR,G,6-Jun,200,,,"1.3 Pts, 0.9 Reb, 0.2 Ast"
Creighton,Justin Patton,23,FR,C,11-Jun,215,"Omaha, NE",North HS,"12.9 Pts, 6.2 Reb, 1.2 Ast"
Creighton,Jordan Scurry,5,FR,G,2-Jun,205,"Dedham, MA",,"1.5 Pts, 0.4 Reb, 0.4 Ast"
Creighton,Khyri Thomas,2,SO,G,3-Jun,200,"Omaha, NE",,"12.3 Pts, 5.8 Reb, 3.3 Ast"
Creighton,Maurice Watson Jr.,10,SR,G,10-May,165,"Philadelphia, PA",Boys' Latin (PA),"12.9 Pts, 2.6 Reb, 8.5 Ast"
Creighton,Isaiah Zierden,21,SR,G,2-Jun,180,"Minneapolis, MN",Benilde-St. Margaret's HS,"4.9 Pts, 2.0 Reb, 0.8 Ast"
Seton Hall,Manny Anderson,35,FR,G,4-Jun,190,"Franklin, NJ",,
Seton Hall,Rashed Anthony,25,JR,F,9-Jun,235,"Orangeburg, SC",Flora Macdonald Academy,"0.2 Pts, 0.6 Reb"
Seton Hall,Khadeen Carrington,0,JR,G,3-Jun,180,"Brooklyn, NY",Bishop Loughlin HS,"17.1 Pts, 3.1 Reb, 2.9 Ast"
Seton Hall,Myles Carter,23,SO,F,9-Jun,230,"Chicago, IL",St. Rita's HS,"0.8 Pts, 1.4 Reb"
Seton Hall,Angel Delgado,31,JR,F,9-Jun,230,"Bajos De Haina, Dominican Republic",Patrick School (NJ),"15.2 Pts, 13.0 Reb, 2.2 Ast"
Seton Hall,MIchael Dowdy,22,SR,G,10-May,185,"Chicago, IL",University of Chicago Laboratory,0.2 Reb
Seton Hall,Eron Gordon,4,FR,G,3-Jun,190,"Indianapolis, IN",,"1.3 Pts, 0.8 Reb, 0.3 Ast"
Seton Hall,Madison Jones,30,SR,G,1-Jun,165,"Raleigh, NC",Ravenscroft,"5.8 Pts, 2.5 Reb, 3.2 Ast"
Seton Hall,Michael Nzei,1,SO,F,7-Jun,190,"Makurdi, Nigeria",Our Savior New American HS,"4.3 Pts, 3.8 Reb, 0.2 Ast"
Seton Hall,Myles Powell,13,FR,G,2-Jun,205,"Trenton, NJ",,"10.7 Pts, 2.2 Reb, 0.9 Ast"
Seton Hall,Desi Rodriguez,20,JR,F,6-Jun,215,"Bronx, NY",Abraham Lincoln HS,"15.7 Pts, 5.2 Reb, 1.8 Ast"
Seton Hall,Ismael Sanogo,14,JR,F,7-Jun,190,"Newark, NJ",East Side HS,"3.0 Pts, 5.6 Reb, 0.8 Ast"
Seton Hall,Veer Singh,33,SO,G,7-Jun,185,"New York, NY",Thurgood Marshall HS,"1.3 Pts, 1.6 Reb, 0.1 Ast"
Seton Hall,Dalton Soffer,21,SO,G,5-Jun,190,"San Diego, CA",Poway HS,"0.6 Pts, 0.2 Reb"
Seton Hall,Jevon Thomas,2,JR,G,Jun-00,185,"Queens, NY",St. John's Northwest Military Academy (WI),"0.7 Pts, 1.0 Reb, 0.8 Ast"
Providence,Rodney Bullock,5,JR,F,7-Jun,220,"Hampton, VA",Kecoughtan HS,"15.7 Pts, 6.4 Reb, 1.4 Ast"
Providence,Kyron Cartwright,24,JR,G,11-May,185,"Compton, CA",Compton HS,"11.4 Pts, 3.5 Reb, 6.7 Ast"
Providence,Ricky Council II,22,SO,G,5-Jun,200,"Durham, NC",Moravian Prep HS,"0.6 Pts, 0.6 Reb"
Providence,Alpha Diallo,11,FR,G,7-Jun,205,"New York, NY",,"5.7 Pts, 3.2 Reb, 1.2 Ast"
Providence,Bryan Donovan,2,FR,G,Jun-00,180,"Gainesville, FL",,
Providence,Drew Edwards,25,SO,G,3-Jun,185,"Perry Hall, MD",Calvert Hall HS,"3.0 Pts, 0.6 Reb, 0.2 Ast"
Providence,Ryan Fazekas,35,SO,G,8-Jun,205,"Chesterton, IN",Marquette Catholic HS,"3.0 Pts, 1.1 Reb, 0.3 Ast"
Providence,Emmitt Holt,15,JR,F,7-Jun,215,"Webster, NY",Webster Schroeder,"12.5 Pts, 5.4 Reb, 1.0 Ast"
Providence,Isaiah Jackson,44,SO,G,6-Jun,207,"Gainesville, FL",The Villages Charter,"5.6 Pts, 2.4 Reb, 1.2 Ast"
Providence,Jalen Lindsey,21,JR,G,7-Jun,195,"Murfreesboro, TN",Huntington Prep HS,"10.7 Pts, 4.3 Reb, 0.7 Ast"
Providence,Tom Planek,34,JR,F,6-Jun,195,"Oak Park, IL",Fenwick HS,0.9 Reb
Providence,Maliek White,4,FR,G,2-Jun,180,"Richmond, VA",,"2.5 Pts, 1.0 Reb, 1.3 Ast"
Providence,Casey Woodring,12,SR,G,2-Jun,180,"Darien, CT",Cushing Academy,"0.8 Pts, 0.5 Reb"
Providence,Kalif Young,13,FR,F,9-Jun,250,"Ontario, Canada",,"3.2 Pts, 3.2 Reb, 0.4 Ast"
Marquette,Sacar Anim,2,SO,G,5-Jun,205,"Minneapolis, MN",DeLaSalle HS,
Marquette,Traci Carter,21,SO,G,Jun-00,175,"Philadelphia, PA",Life Center Academy,"4.2 Pts, 2.1 Reb, 3.6 Ast"
Marquette,Haanif Cheatham,25,SO,G,5-Jun,180,"Fort Lauderdale, FL",Pembroke Pines HS,"8.7 Pts, 3.8 Reb, 2.2 Ast"
Marquette,Sandy Cohen,5,JR,F,6-Jun,180,"Seymour, WI",Seymour HS,"1.0 Reb, 0.3 Ast"
Marquette,Luke Fischer,40,SR,C,11-Jun,245,"Germantown, WI",Germantown,"10.9 Pts, 5.9 Reb, 1.2 Ast"
Marquette,Deon Franklin,41,SO,F,5-Jun,215,"Treviso, Italy",,0.4 Reb
Marquette,Sam Hauser,10,FR,G,7-Jun,225,"Stevens Point, WI",,"8.8 Pts, 5.0 Reb, 1.3 Ast"
Marquette,Matt Heldt,12,SO,C,10-Jun,255,"Neenah, WI",Neenah HS,"2.3 Pts, 2.9 Reb, 0.2 Ast"
Marquette,Markus Howard,0,FR,G,11-May,175,"Chandler, AZ",,"13.2 Pts, 2.2 Reb, 2.3 Ast"
Marquette,JaJuan Johnson,23,SR,G,5-Jun,185,"Memphis, TN",Southwind HS,"12.0 Pts, 4.1 Reb, 2.7 Ast"
Marquette,Cam Marotta,52,SO,G,Jun-00,160,"Mequon, WI",Homestead HS,"0.6 Pts, 0.2 Reb, 0.2 Ast"
Marquette,Katin Reinhardt,22,SR,G,6-Jun,205,"Dana Point, CA",Mater Dei,"10.8 Pts, 2.7 Reb, 2.1 Ast"
Marquette,Andrew Rowsey,30,JR,G,10-May,175,"Lexington, VA",Rockbridge County,"11.6 Pts, 1.8 Reb, 2.3 Ast"
Marquette,Duane Wilson,1,JR,G,2-Jun,185,"Milwaukee, WI",Dominican HS,"4.8 Pts, 1.8 Reb, 1.6 Ast"
Xavier,Cullen Barr,12,SR,F,7-Jun,230,"Libertyville, IL",,
Xavier,Alex Bergen,20,SR,G,4-Jun,195,"Cincinnati, OH",Oak Hills HS,0.2 Reb
Xavier,Malcolm Bernard,11,SR,G,5-Jun,195,"Miami, FL",Middleburg,"6.6 Pts, 4.1 Reb, 1.5 Ast"
Xavier,Trevon Bluiett,5,JR,G,6-Jun,215,"Indianapolis, IN",Park Tudor HS,"18.4 Pts, 5.7 Reb, 2.1 Ast"
Xavier,Myles Davis,15,SR,G,2-Jun,195,"Plainfield, NJ",Notre Dame Prep (MA),"0.5 Pts, 0.5 Reb"
Xavier,Rashid Gaston,35,SR,F,9-Jun,240,"Warren, OH",Warren G. Harding,"7.4 Pts, 5.9 Reb, 0.6 Ast"
Xavier,Kaiser Gates,22,SO,F,8-Jun,205,"Alpharetta, GA",St. Francis HS,"5.8 Pts, 4.0 Reb, 0.7 Ast"
Xavier,Quentin Goodin,3,FR,G,4-Jun,194,"Campbellsville, KY",,"5.1 Pts, 2.0 Reb, 3.4 Ast"
Xavier,Tyrique Jones,0,FR,F,9-Jun,243,"Bloomfield, CT",,"4.2 Pts, 3.1 Reb, 0.3 Ast"
Xavier,J.P. Macura,55,JR,G,5-Jun,190,"Lakeville, MN",North HS,"14.4 Pts, 4.4 Reb, 2.9 Ast"
Xavier,Sean O'Mara,54,JR,F,10-Jun,247,"Glen Ellyn, IL",Benet Academy,"6.1 Pts, 3.1 Reb, 0.6 Ast"
Xavier,Conor Peterson,24,FR,G,6-Jun,180,"Libertyville, IL",,0.2 Reb
Xavier,Leighton Schrand,10,FR,G,Jun-00,155,"Villa Hills, KY",,0.3 Pts
Xavier,Tim Stainbrook,21,SR,F,6-Jun,200,"Bay Village, OH",Lakewood St. Edward HS,"0.2 Pts, 0.2 Reb, 0.2 Ast"
Xavier,Edmond Sumner,4,SO,G,5-Jun,170,"Detroit, MI",Country Day,"14.3 Pts, 4.2 Reb, 4.8 Ast"
St. John's,Bashir Ahmed,1,JR,G,7-Jun,210,"Bronx, NY",,"13.4 Pts, 5.5 Reb, 1.2 Ast"
St. John's,Amar Alibegovic,3,JR,F,9-Jun,230,"Rome, Italy",Istituto Tecnico Minerva,"2.1 Pts, 1.7 Reb, 0.7 Ast"
St. John's,Marvin Clark,10,JR,F,6-Jun,225,"Kansas City, MO",Sunrise Christian Academy,
St. John's,Justin Cole,23,,G,2-Jun,190,,,0.3 Reb
St. John's,Malik Ellison,0,SO,G,6-Jun,200,"Voorhees, NJ",Life Center Academy (NJ),"7.4 Pts, 3.3 Reb, 2.5 Ast"
St. John's,Richard Freudenberg,20,FR,F,9-Jun,210,"Munich, Germany",,"1.3 Pts, 1.3 Reb, 0.5 Ast"
St. John's,Elijah Holifield,12,SO,G,2-Jun,175,"Atlanta, GA",,"1.1 Pts, 0.1 Reb, 0.2 Ast"
St. John's,Brandon Lawrence,24,,G,4-Jun,195,,,0.7 Pts
St. John's,Marcus LoVett,15,FR,G,Jun-00,175,"Fort Wayne, IN",Morgan Park HS,"15.9 Pts, 2.9 Reb, 3.8 Ast"
St. John's,Federico Mussini,4,SO,G,1-Jun,155,"Reggio Emilia, Italy",,"8.2 Pts, 1.7 Reb, 0.9 Ast"
St. John's,Tariq Owens,11,SO,F,10-Jun,205,"Odenton, MD",St. Vincent Pallotti,"5.2 Pts, 5.1 Reb, 0.5 Ast"
St. John's,Shamorie Ponds,2,FR,G,1-Jun,170,"Brooklyn, NY",,"17.4 Pts, 4.4 Reb, 3.1 Ast"
St. John's,Yankuba Sima,35,SO,C,11-Jun,205,"Girona, Spain",Elev8 Institute,"6.0 Pts, 3.5 Reb, 0.6 Ast"
St. John's,Justin Simon,5,SO,G,5-Jun,185,"Temecula, CA",Temecula Valley (CA) / Brewster Academy (NH),
St. John's,Darien Williams,45,SR,F,8-Jun,230,"San Francisco, CA",,"3.8 Pts, 2.6 Reb, 0.2 Ast"
St. John's,Kassoum Yakwe,14,SO,F,7-Jun,200,"Bamako, Mali",Our Savior New American HS,"4.2 Pts, 3.2 Reb, 0.8 Ast"
Georgetown,Akoy Agau,22,JR,F,8-Jun,230,"Omaha, NE",Omaha Central,"4.5 Pts, 4.2 Reb, 0.9 Ast"
Georgetown,Reggie Cameron,5,SR,F,7-Jun,223,"Hackensack, NJ",Hudson Catholic HS,"1.7 Pts, 0.9 Reb, 0.4 Ast"
Georgetown,Tre Campbell,1,JR,G,2-Jun,170,"Washington, DC",St. John's College HS,"3.5 Pts, 1.2 Reb, 1.3 Ast"
Georgetown,Isaac Copeland,11,JR,F,9-Jun,220,"Raleigh, NC",Brewster Academy (NH),"5.4 Pts, 3.3 Reb, 0.9 Ast"
Georgetown,Marcus Derrickson,24,SO,F,7-Jun,250,"Bowie, MD",Brewster Academy (NH),"8.3 Pts, 4.4 Reb, 1.4 Ast"
Georgetown,Jessie Govan,15,SO,C,10-Jun,270,"Queens Village, NY",,"10.1 Pts, 5.0 Reb, 1.4 Ast"
Georgetown,Bradley Hayes,42,SR,C,Jul-00,260,"Jacksonville, FL",Sandalwood HS,"4.2 Pts, 4.0 Reb, 0.8 Ast"
Georgetown,Ra'Mond Hines,10,SO,G,4-Jun,175,"Washington, DC",,"0.2 Pts, 0.2 Ast"
Georgetown,Kaleb Johnson,32,SO,G,6-Jun,205,"South Hill, VA",,"2.3 Pts, 1.9 Reb, 0.4 Ast"
Georgetown,Jagan Mosely,4,FR,G,3-Jun,205,"Morganville, NJ",,"4.2 Pts, 2.2 Reb, 2.5 Ast"
Georgetown,Trey Mourning,33,JR,F,9-Jun,217,"Miami, FL",Ransom Everglades HS,"0.8 Pts, 0.5 Reb"
Georgetown,Jonathan Mulmore,2,JR,G,4-Jun,185,"New Orleans, LA",,"3.6 Pts, 1.3 Reb, 1.9 Ast"
Georgetown,George Muresan,20,FR,F,9-Jun,210,"Potomac, MD",,
Georgetown,L.J. Peak,0,JR,G,5-Jun,215,"Gaffney, SC",Gaffney HS,"16.2 Pts, 3.8 Reb, 3.5 Ast"
Georgetown,Rodney Pryor,23,SR,G,5-Jun,205,"Evanston, IL",Notre Dame Prep,"18.0 Pts, 5.0 Reb, 1.3 Ast"
DePaul,Eli Cain,11,SO,G,6-Jun,201,"Willingboro, NJ",,"15.6 Pts, 4.5 Reb, 2.7 Ast"
DePaul,Levi Cook,44,FR,C,10-Jun,293,"Arnett, WV",,"2.6 Pts, 2.3 Reb, 0.1 Ast"
DePaul,R.J. Curington,0,SR,G,5-Jun,200,"Dyer, IN",Oak Hill Academy (VA),"3.9 Pts, 1.9 Reb, 0.6 Ast"
DePaul,Brandon Cyrus,4,FR,G,5-Jun,189,"Ontario, Canada",,"6.3 Pts, 4.2 Reb, 0.9 Ast"
DePaul,Al Eichelberger,23,FR,F,8-Jun,260,"Saginaw, MI",,"1.7 Pts, 1.2 Reb, 0.0 Ast"
DePaul,Devin Gage,3,FR,G,2-Jun,207,"Chicago, IL",,"4.0 Pts, 0.9 Reb, 0.9 Ast"
DePaul,Billy Garrett,5,SR,G,6-Jun,205,"Chicago, IL",Morgan Park HS,"14.9 Pts, 2.9 Reb, 3.3 Ast"
DePaul,Erten Gazi,12,SO,G,4-Jun,200,"Guselyurt, Cyprus",,"1.4 Pts, 0.8 Reb, 0.2 Ast"
DePaul,Austin Grandstaff,2,SO,G,4-Jun,182,"Rowlett, TX",Rockwall HS,
DePaul,Joe Hanel,33,JR,F,7-Jun,205,"Savage, MN",Holy Family Catholic HS,"4.6 Pts, 4.8 Reb, 0.8 Ast"
DePaul,Chris Harrison-Docks,51,SR,G,Jun-00,168,"Okemos, MI",Okemos,"6.3 Pts, 0.8 Reb, 0.8 Ast"
DePaul,David Leitao III,32,SR,F,7-Jun,220,"Virginia Beach, VA",,0.5 Reb
DePaul,Tre'Darius McCallum,10,JR,F,7-Jun,209,"Myrtle Beach, SC",,"9.7 Pts, 6.8 Reb, 1.3 Ast"
DePaul,Peter Ryckbosch,30,SR,F,10-Jun,243,"Chicago, IL",St. Ignatius HS,
DePaul,Max Strus,31,JR,G,6-Jun,217,"Hickory Hills, IL",,
DePaul,Darrick Wood,1,SR,G,5-Jun,190,"Alexandria, VA",Bridgton Academy (ME),"4.4 Pts, 1.4 Reb, 0.7 Ast"
Purdue,Spike Albrecht,55,SR,G,11-May,175,"Crown Point, IN",Northfield Mount Hermon Prep,"1.6 Pts, 1.5 Reb, 1.3 Ast"
Purdue,Ryan Cline,14,SO,G,5-Jun,190,"Carmel, IN",Carmel HS,"5.4 Pts, 2.0 Reb, 1.6 Ast"
Purdue,Carsen Edwards,3,FR,G,1-Jun,190,"Atascocita, TX",,"10.3 Pts, 2.6 Reb, 1.8 Ast"
Purdue,Vince Edwards,12,JR,F,7-Jun,220,"Middletown, OH",Middletown HS,"12.6 Pts, 4.9 Reb, 3.2 Ast"
Purdue,Grady Eifert,24,SO,F,6-Jun,215,"Fort Wayne, IN",Bishop Dwenger HS,"0.9 Pts, 0.5 Reb"
Purdue,Matt Haarms,32,,F,2-Jul,230,,,
Purdue,Isaac Haas,44,JR,C,2-Jul,297,"Hokes Bluff, AL",Hokes Bluff HS,"12.6 Pts, 5.0 Reb, 0.6 Ast"
Purdue,Tommy Luce,15,FR,G,10-May,150,"Jeffersonville, IN",,"0.1 Pts, 0.3 Ast"
Purdue,Dakota Mathias,31,JR,G,4-Jun,197,"Elida, OH",Elida HS,"9.7 Pts, 3.9 Reb, 3.8 Ast"
Purdue,Jon McKeeman,2,SR,G,1-Jun,190,"Fort Wayne, IN",Carroll HS,"0.3 Pts, 0.1 Reb"
Purdue,Basil Smotherman,5,JR,F,6-Jun,222,"Indianapolis, IN",Lawrence North HS,"3.9 Pts, 1.7 Reb, 0.8 Ast"
Purdue,Caleb Swanigan,50,SO,F,9-Jun,260,"Fort Wayne, IN",Homestead HS,"18.5 Pts, 12.5 Reb, 3.0 Ast"
Purdue,Jacquil Taylor,23,SO,F,10-Jun,240,"Cambridge, MA",Beaver Country Day,
Purdue,P.J. Thompson,11,JR,G,10-May,188,"Indianapolis, IN",Brebeuf Prep,"7.4 Pts, 2.1 Reb, 2.9 Ast"
Wisconsin,Michael Ballard,31,FR,G,4-Jun,194,"Oak Park, IL",,
Wisconsin,Vitto Brown,30,SR,F,8-Jun,237,"Bowling Green, OH",Bowling Green HS,"6.8 Pts, 3.8 Reb, 1.0 Ast"
Wisconsin,Matt Ferris,4,SO,G,6-Jun,195,"Appleton, WI",Xavier HS,"0.6 Reb, 0.2 Ast"
Wisconsin,Aleem Ford,2,FR,F,8-Jun,208,"Lawrenceville, GA",,
Wisconsin,Ethan Happ,22,SO,F,8-Jun,200,"Milan, IL",Rockridge HS,"14.0 Pts, 9.0 Reb, 2.8 Ast"
Wisconsin,Nigel Hayes,10,SR,F,8-Jun,235,"Toledo, OH",Whitmer HS,"14.0 Pts, 6.6 Reb, 2.7 Ast"
Wisconsin,Jordan Hill,11,JR,G,3-Jun,170,"Pasadena, CA",Phillips Exeter Academy (NH),"1.5 Pts, 1.1 Reb, 0.5 Ast"
Wisconsin,Alex Illikainen,25,SO,F,9-Jun,225,"Grand Rapids, MN",Brewster Academy (NH),"1.3 Pts, 1.5 Reb, 0.3 Ast"
Wisconsin,Khalil Iverson,21,SO,G,5-Jun,200,"Delaware, OH",Rutherford B Hayes HS,"3.9 Pts, 3.3 Reb, 0.6 Ast"
Wisconsin,Bronson Koenig,24,SR,G,4-Jun,190,"La Crosse, WI",Aquinas HS,"14.5 Pts, 2.1 Reb, 2.0 Ast"
Wisconsin,Aaron Moesch,5,JR,F,8-Jun,215,"Green Bay, WI",Southwest HS,"0.2 Pts, 0.4 Reb, 0.1 Ast"
Wisconsin,Brevin Pritzl,1,FR,G,3-Jun,185,"De Pere, WI",De Pere HS,"1.9 Pts, 1.1 Reb, 0.1 Ast"
Wisconsin,T.J. Schlundt,20,SO,G,5-Jun,182,"Oconomowoc, WI",Oconomowoc HS,"0.2 Pts, 0.2 Reb"
Wisconsin,Zak Showalter,3,SR,G,2-Jun,185,"Germantown, WI",Germantown HS,"8.3 Pts, 2.9 Reb, 1.8 Ast"
Wisconsin,Charles Thomas IV,15,SO,F,8-Jun,253,"Highland, MD",River Hill HS,"2.2 Pts, 1.3 Reb, 0.2 Ast"
Wisconsin,D'Mitrik Trice,0,FR,G,Jun-00,178,"Huber Heights, OH",,"5.6 Pts, 1.9 Reb, 1.7 Ast"
Wisconsin,Andy Van Vliet,33,SO,F,11-Jun,203,"Antwerp, Belgium",,"1.4 Pts, 1.5 Reb, 0.2 Ast"
Maryland,Kent Auslander,32,SO,G,6-Jun,200,"Herndon, VA",Herndon HS,
Maryland,Ivan Bender,13,SO,F,9-Jun,230,"Caplijina, Bosnia and Herzegovina",,"4.8 Pts, 3.2 Reb, 0.9 Ast"
Maryland,Jaylen Brantley,1,JR,G,11-May,170,"Springfield, MA",Notre Dame Prep,"4.9 Pts, 2.0 Reb, 1.0 Ast"
Maryland,Michal Cekovsky,15,JR,F,1-Jul,235,"Kosice, Slovakia",Canarias Academy,"7.6 Pts, 2.8 Reb, 0.5 Ast"
Maryland,Anthony Cowan,0,FR,G,1-Jun,170,"Bowie, MD",,"10.3 Pts, 3.9 Reb, 3.7 Ast"
Maryland,Damonte Dodd,35,SR,F,11-Jun,245,"Centreville, MD",Massanutten Military Academy,"6.2 Pts, 4.4 Reb, 0.4 Ast"
Maryland,L.G. Gill,10,SR,F,7-Jun,210,"Chesterfield, VA",Benedictine College Prep HS,"3.5 Pts, 2.1 Reb, 0.3 Ast"
Maryland,Kevin Huerter,4,FR,G,7-Jun,190,"Clifton Park, NY",,"9.3 Pts, 4.9 Reb, 2.7 Ast"
Maryland,Justin Jackson,21,FR,F,7-Jun,225,"Ontario, Canada",,"10.5 Pts, 6.0 Reb, 0.9 Ast"
Maryland,Jared Nickens,11,JR,G,7-Jun,200,"Monmouth Junction, NJ",Westtown,"3.1 Pts, 0.9 Reb, 0.2 Ast"
Maryland,Andrew Terrell,24,SO,G,10-May,190,"Indianapolis, IN",Brebeuf Jesuit HS,0.4 Ast
Maryland,Micah Thomas,23,FR,F,7-Jun,195,"Memphis, TN",,
Maryland,Joshua Tomaic,33,FR,F,9-Jun,220,"Canary Islands, Spain",,
Maryland,Melo Trimble,2,JR,G,3-Jun,190,"Upper Marlboro, MD",Bishop O'Connell HS,"16.8 Pts, 3.6 Reb, 3.7 Ast"
